gRNA_length,PAM,gc_content,cleavage_efficiency,off_target_probability,immunogenicity,binding_affinity,tcell_recognition,exposure_score,fitness_score
22,CGG,0.79,0.74,0.01,0.59,0.44,0.64,0.56,-0.5
18,NGG,0.69,0.86,0.15,0.54,0.82,0.73,0.79,-0.56
19,NAG,0.42,0.72,0.05,0.36,0.42,0.79,0.6,-0.48
17,TGG,0.43,0.72,0.1,0.45,0.86,0.65,0.69,-0.48
20,NGG,0.6,0.82,0.21,0.44,0.88,0.79,0.67,-0.62
24,NAG,0.47,0.74,0.12,0.42,0.79,0.6,0.64,-0.4
19,CGG,0.5,0.73,0.25,0.26,0.55,0.54,0.66,-0.32
22,CGG,0.59,0.78,0.0,0.29,0.86,0.72,0.78,-0.23
19,NAG,0.53,0.78,0.15,0.24,0.75,0.7,0.56,-0.31
21,NGG,0.72,0.73,0.06,0.31,0.44,0.59,0.66,-0.23
23,CGG,0.54,0.79,0.27,0.23,0.89,0.71,0.58,-0.42
21,TGG,0.74,0.71,0.14,0.42,0.45,0.58,0.65,-0.43
21,NGG,0.71,0.95,0.17,0.54,0.66,0.72,0.62,-0.48
23,NGG,0.72,0.72,0.08,0.35,0.74,0.53,0.7,-0.24
23,NAG,0.62,0.93,0.09,0.29,0.68,0.76,0.54,-0.21
22,NGG,0.73,0.88,0.26,0.25,0.52,0.75,0.55,-0.38
17,CGG,0.72,0.92,0.24,0.52,0.55,0.79,0.68,-0.63
21,NAG,0.54,0.93,0.21,0.49,0.56,0.76,0.67,-0.53
21,NGG,0.62,0.71,0.21,0.21,0.4,0.72,0.63,-0.43
22,TGG,0.69,0.86,0.21,0.47,0.85,0.74,0.6,-0.56
22,CGG,0.55,0.8,0.18,0.49,0.75,0.61,0.7,-0.48
22,NGG,0.62,0.84,0.0,0.31,0.85,0.55,0.79,-0.02
19,CGG,0.73,0.9,0.29,0.39,0.41,0.67,0.69,-0.45
21,TGG,0.62,0.76,0.16,0.28,0.79,0.56,0.56,-0.24
20,TGG,0.51,0.86,0.27,0.48,0.86,0.58,0.69,-0.47
20,NGG,0.76,0.81,0.19,0.54,0.81,0.59,0.78,-0.51
17,NGG,0.79,0.89,0.01,0.44,0.48,0.78,0.58,-0.34
21,TGG,0.44,0.84,0.1,0.36,0.62,0.59,0.59,-0.21
20,NGG,0.41,0.83,0.26,0.36,0.8,0.71,0.72,-0.5
17,TGG,0.7,0.88,0.19,0.54,0.46,0.68,0.74,-0.53
19,NGG,0.56,0.82,0.25,0.43,0.44,0.71,0.8,-0.57
19,TGG,0.62,0.79,0.13,0.33,0.85,0.7,0.77,-0.37
21,NAG,0.78,0.76,0.2,0.43,0.67,0.58,0.56,-0.45
22,TGG,0.8,0.72,0.15,0.54,0.68,0.8,0.77,-0.77
18,TGG,0.66,0.77,0.14,0.24,0.88,0.57,0.68,-0.18
24,NAG,0.49,0.78,0.21,0.41,0.68,0.74,0.58,-0.58
23,CGG,0.61,0.9,0.15,0.36,0.6,0.54,0.62,-0.15
19,CGG,0.61,0.95,0.11,0.23,0.51,0.7,0.58,-0.09
24,NGG,0.6,0.74,0.23,0.29,0.76,0.55,0.61,-0.33
20,TGG,0.47,0.75,0.25,0.43,0.4,0.73,0.53,-0.66
21,CGG,0.42,0.95,0.15,0.47,0.66,0.58,0.69,-0.25
23,NAG,0.62,0.74,0.0,0.5,0.74,0.78,0.64,-0.54
18,CGG,0.55,0.77,0.04,0.54,0.78,0.72,0.53,-0.53
23,CGG,0.7,0.87,0.04,0.31,0.52,0.63,0.71,-0.11
18,NAG,0.7,0.84,0.11,0.35,0.45,0.56,0.51,-0.18
19,NGG,0.41,0.85,0.02,0.49,0.5,0.77,0.69,-0.43
17,TGG,0.68,0.84,0.14,0.54,0.79,0.51,0.51,-0.35
23,NAG,0.61,0.85,0.13,0.27,0.49,0.6,0.61,-0.15
21,TGG,0.44,0.88,0.25,0.29,0.53,0.62,0.67,-0.28
17,NGG,0.63,0.84,0.1,0.36,0.68,0.56,0.64,-0.18
20,TGG,0.64,0.85,0.26,0.53,0.71,0.67,0.68,-0.61
23,CGG,0.49,0.92,0.01,0.52,0.47,0.53,0.6,-0.14
21,CGG,0.66,0.78,0.0,0.35,0.77,0.62,0.68,-0.19
20,NGG,0.51,0.89,0.0,0.25,0.84,0.74,0.63,-0.1
24,CGG,0.71,0.72,0.02,0.57,0.44,0.68,0.56,-0.55
21,TGG,0.46,0.76,0.11,0.52,0.44,0.66,0.65,-0.53
24,TGG,0.5,0.73,0.26,0.38,0.73,0.71,0.51,-0.62
23,NGG,0.5,0.94,0.02,0.26,0.74,0.78,0.77,-0.12
21,NAG,0.56,0.73,0.18,0.31,0.48,0.61,0.79,-0.37
17,CGG,0.49,0.87,0.17,0.45,0.84,0.76,0.76,-0.51
24,CGG,0.66,0.81,0.14,0.58,0.54,0.52,0.64,-0.43
20,TGG,0.72,0.7,0.1,0.43,0.52,0.68,0.65,-0.51
21,TGG,0.45,0.85,0.01,0.44,0.6,0.6,0.67,-0.2
24,CGG,0.73,0.91,0.07,0.35,0.46,0.68,0.59,-0.19
20,CGG,0.72,0.75,0.29,0.55,0.79,0.71,0.53,-0.8
20,NAG,0.69,0.76,0.14,0.31,0.66,0.78,0.63,-0.47
24,CGG,0.77,0.81,0.12,0.57,0.47,0.55,0.56,-0.43
20,NGG,0.63,0.89,0.2,0.33,0.68,0.79,0.76,-0.43
22,TGG,0.51,0.71,0.09,0.46,0.7,0.58,0.7,-0.42
21,TGG,0.74,0.94,0.3,0.25,0.72,0.61,0.6,-0.22
18,NGG,0.4,0.8,0.22,0.27,0.5,0.77,0.51,-0.46
17,TGG,0.44,0.71,0.01,0.41,0.43,0.7,0.75,-0.41
17,CGG,0.58,0.81,0.06,0.22,0.56,0.71,0.62,-0.18
17,NAG,0.41,0.77,0.16,0.58,0.71,0.53,0.67,-0.5
20,TGG,0.61,0.87,0.28,0.32,0.62,0.5,0.68,-0.23
22,TGG,0.75,0.79,0.28,0.57,0.88,0.72,0.52,-0.78
19,TGG,0.64,0.78,0.11,0.45,0.44,0.52,0.62,-0.3
20,TGG,0.68,0.79,0.29,0.28,0.79,0.66,0.69,-0.44
20,NAG,0.45,0.83,0.2,0.56,0.46,0.61,0.54,-0.54
17,NGG,0.54,0.81,0.01,0.29,0.62,0.76,0.65,-0.25
17,TGG,0.61,0.87,0.06,0.5,0.8,0.65,0.52,-0.34
20,CGG,0.49,0.91,0.01,0.2,0.81,0.58,0.54,0.12
18,TGG,0.53,0.73,0.3,0.22,0.7,0.7,0.65,-0.49
22,NAG,0.65,0.87,0.05,0.44,0.75,0.64,0.54,-0.26
17,TGG,0.64,0.95,0.18,0.53,0.8,0.72,0.62,-0.48
24,TGG,0.59,0.72,0.16,0.33,0.56,0.7,0.55,-0.47
22,NAG,0.62,0.76,0.01,0.57,0.53,0.7,0.64,-0.52
24,TGG,0.72,0.84,0.09,0.35,0.43,0.53,0.72,-0.13
21,NAG,0.58,0.76,0.28,0.34,0.44,0.72,0.62,-0.58
21,TGG,0.67,0.87,0.03,0.41,0.5,0.73,0.75,-0.3
17,CGG,0.76,0.79,0.17,0.26,0.52,0.59,0.76,-0.23
20,NAG,0.68,0.74,0.23,0.43,0.89,0.77,0.79,-0.69
20,NGG,0.45,0.8,0.04,0.58,0.51,0.59,0.6,-0.41
18,TGG,0.55,0.73,0.15,0.58,0.83,0.72,0.67,-0.72
18,TGG,0.68,0.88,0.13,0.28,0.59,0.64,0.67,-0.17
22,CGG,0.64,0.82,0.11,0.58,0.65,0.53,0.5,-0.4
17,NGG,0.53,0.72,0.09,0.2,0.63,0.74,0.77,-0.31
22,TGG,0.49,0.85,0.29,0.21,0.71,0.68,0.68,-0.33
24,CGG,0.54,0.91,0.25,0.58,0.73,0.78,0.77,-0.7
21,NGG,0.4,0.89,0.11,0.58,0.74,0.52,0.56,-0.32
20,CGG,0.56,0.89,0.14,0.39,0.77,0.52,0.61,-0.16
20,NAG,0.59,0.72,0.01,0.24,0.74,0.51,0.77,-0.04
22,TGG,0.63,0.92,0.15,0.37,0.82,0.76,0.76,-0.36
23,TGG,0.61,0.85,0.02,0.56,0.61,0.68,0.68,-0.41
24,TGG,0.66,0.81,0.07,0.6,0.57,0.67,0.64,-0.53
20,NGG,0.64,0.81,0.13,0.24,0.66,0.68,0.73,-0.24
22,CGG,0.74,0.73,0.02,0.24,0.57,0.69,0.64,-0.22
24,NAG,0.64,0.74,0.25,0.22,0.54,0.64,0.59,-0.37
23,TGG,0.66,0.91,0.07,0.5,0.67,0.67,0.72,-0.33
23,CGG,0.74,0.76,0.08,0.45,0.73,0.73,0.74,-0.5
19,TGG,0.45,0.94,0.1,0.53,0.49,0.66,0.67,-0.35
20,CGG,0.78,0.81,0.2,0.51,0.65,0.55,0.66,-0.45
19,CGG,0.72,0.8,0.2,0.2,0.6,0.55,0.57,-0.15
17,CGG,0.4,0.79,0.16,0.38,0.51,0.63,0.51,-0.38
19,NAG,0.79,0.88,0.14,0.42,0.69,0.74,0.75,-0.42
17,NGG,0.76,0.74,0.05,0.28,0.64,0.67,0.53,-0.26
20,TGG,0.61,0.71,0.27,0.3,0.44,0.55,0.59,-0.41
18,TGG,0.45,0.81,0.3,0.34,0.52,0.54,0.55,-0.37
17,NGG,0.74,0.77,0.3,0.39,0.87,0.5,0.73,-0.42
23,NGG,0.52,0.91,0.26,0.46,0.47,0.61,0.69,-0.42
18,NGG,0.66,0.87,0.24,0.34,0.72,0.68,0.56,-0.39
21,NGG,0.63,0.88,0.1,0.52,0.84,0.7,0.73,-0.44
20,NGG,0.74,0.73,0.06,0.31,0.8,0.68,0.51,-0.32
18,NAG,0.46,0.82,0.02,0.59,0.42,0.57,0.63,-0.36
23,TGG,0.52,0.94,0.13,0.6,0.76,0.67,0.51,-0.46
18,CGG,0.74,0.72,0.03,0.35,0.69,0.61,0.66,-0.27
17,CGG,0.59,0.8,0.15,0.44,0.7,0.74,0.5,-0.53
19,CGG,0.58,0.83,0.29,0.24,0.62,0.7,0.52,-0.4
22,CGG,0.72,0.74,0.17,0.43,0.66,0.54,0.79,-0.4
18,NAG,0.42,0.93,0.02,0.47,0.6,0.73,0.57,-0.29
20,NGG,0.59,0.93,0.05,0.27,0.89,0.51,0.67,0.1
22,NGG,0.66,0.75,0.06,0.39,0.62,0.54,0.63,-0.24
20,NAG,0.49,0.75,0.23,0.52,0.62,0.71,0.7,-0.71
24,TGG,0.41,0.71,0.12,0.44,0.41,0.54,0.55,-0.39
17,TGG,0.47,0.73,0.1,0.24,0.76,0.62,0.61,-0.23
17,CGG,0.75,0.91,0.28,0.37,0.84,0.63,0.79,-0.37
21,TGG,0.46,0.93,0.23,0.24,0.85,0.8,0.8,-0.34
18,NAG,0.55,0.94,0.22,0.57,0.4,0.54,0.74,-0.39
23,CGG,0.42,0.89,0.24,0.29,0.66,0.63,0.77,-0.27
19,NGG,0.76,0.85,0.08,0.45,0.82,0.66,0.55,-0.34
17,CGG,0.41,0.91,0.22,0.26,0.67,0.75,0.76,-0.32
21,TGG,0.72,0.89,0.22,0.44,0.59,0.73,0.67,-0.5
22,TGG,0.7,0.8,0.18,0.53,0.72,0.51,0.8,-0.42
23,TGG,0.76,0.82,0.19,0.42,0.47,0.53,0.52,-0.32
17,NGG,0.67,0.87,0.17,0.53,0.41,0.68,0.59,-0.51
22,CGG,0.79,0.9,0.11,0.28,0.55,0.53,0.63,-0.02
23,NAG,0.73,0.85,0.21,0.3,0.51,0.71,0.56,-0.37
18,CGG,0.79,0.93,0.29,0.59,0.55,0.62,0.74,-0.57
21,NAG,0.5,0.9,0.29,0.5,0.47,0.74,0.76,-0.63
17,NGG,0.53,0.95,0.03,0.5,0.52,0.58,0.6,-0.16
23,CGG,0.43,0.74,0.26,0.42,0.65,0.77,0.69,-0.71
19,NGG,0.41,0.83,0.15,0.48,0.48,0.54,0.62,-0.34
18,CGG,0.43,0.83,0.01,0.55,0.78,0.76,0.52,-0.49
22,CGG,0.66,0.87,0.19,0.32,0.41,0.73,0.74,-0.37
19,NGG,0.65,0.89,0.01,0.52,0.89,0.68,0.76,-0.32
20,NGG,0.57,0.92,0.09,0.52,0.86,0.57,0.71,-0.26
19,CGG,0.47,0.83,0.27,0.46,0.61,0.7,0.67,-0.6
18,TGG,0.44,0.9,0.08,0.47,0.58,0.76,0.66,-0.41
19,TGG,0.55,0.72,0.26,0.38,0.81,0.64,0.72,-0.56
19,NGG,0.5,0.78,0.02,0.44,0.6,0.67,0.55,-0.35
19,NGG,0.7,0.72,0.18,0.35,0.52,0.68,0.57,-0.49
17,NGG,0.68,0.73,0.23,0.47,0.73,0.77,0.65,-0.74
20,NAG,0.59,0.77,0.13,0.43,0.61,0.73,0.53,-0.52
24,CGG,0.44,0.81,0.27,0.6,0.42,0.8,0.5,-0.86
24,NAG,0.79,0.84,0.07,0.21,0.81,0.65,0.63,-0.09
22,NAG,0.8,0.83,0.06,0.34,0.53,0.64,0.63,-0.21
19,CGG,0.71,0.72,0.24,0.54,0.48,0.76,0.73,-0.82
22,TGG,0.43,0.84,0.14,0.29,0.53,0.7,0.54,-0.29
24,NAG,0.65,0.84,0.22,0.25,0.84,0.54,0.67,-0.17
23,NAG,0.5,0.79,0.27,0.36,0.69,0.53,0.51,-0.37
18,NGG,0.61,0.93,0.06,0.55,0.89,0.72,0.56,-0.4
22,NGG,0.56,0.81,0.1,0.45,0.4,0.52,0.6,-0.26
18,TGG,0.47,0.92,0.17,0.48,0.5,0.64,0.76,-0.37
21,NAG,0.61,0.71,0.26,0.37,0.51,0.52,0.78,-0.44
17,CGG,0.41,0.88,0.22,0.47,0.83,0.63,0.54,-0.44
17,NAG,0.43,0.78,0.11,0.41,0.43,0.64,0.67,-0.38
23,NGG,0.56,0.78,0.15,0.35,0.65,0.51,0.74,-0.23
22,NAG,0.58,0.78,0.03,0.26,0.67,0.54,0.56,-0.05
17,TGG,0.42,0.94,0.04,0.57,0.58,0.54,0.77,-0.21
19,TGG,0.51,0.92,0.04,0.27,0.89,0.79,0.59,-0.18
19,TGG,0.52,0.79,0.23,0.28,0.75,0.68,0.55,-0.4
22,CGG,0.74,0.94,0.3,0.36,0.77,0.73,0.73,-0.45
20,CGG,0.78,0.88,0.12,0.38,0.46,0.72,0.59,-0.34
21,CGG,0.74,0.71,0.11,0.21,0.71,0.53,0.65,-0.14
19,CGG,0.64,0.79,0.01,0.32,0.56,0.61,0.76,-0.15
22,CGG,0.76,0.8,0.28,0.45,0.78,0.72,0.65,-0.65
24,NGG,0.6,0.8,0.14,0.57,0.81,0.5,0.61,-0.41
18,NAG,0.53,0.78,0.16,0.48,0.41,0.54,0.76,-0.4
20,TGG,0.52,0.85,0.02,0.57,0.5,0.54,0.76,-0.28
17,NGG,0.45,0.71,0.27,0.38,0.84,0.53,0.61,-0.47
23,TGG,0.54,0.71,0.24,0.4,0.79,0.56,0.66,-0.49
17,NAG,0.79,0.9,0.26,0.55,0.52,0.8,0.54,-0.71
21,NAG,0.62,0.72,0.29,0.29,0.68,0.72,0.6,-0.58
22,CGG,0.5,0.89,0.14,0.46,0.54,0.68,0.78,-0.39
22,CGG,0.68,0.83,0.03,0.48,0.7,0.74,0.68,-0.42
18,TGG,0.49,0.89,0.3,0.41,0.42,0.63,0.58,-0.45
21,NAG,0.57,0.84,0.17,0.23,0.75,0.7,0.78,-0.26
23,TGG,0.6,0.83,0.18,0.49,0.72,0.74,0.59,-0.58
17,TGG,0.68,0.73,0.27,0.21,0.63,0.54,0.54,-0.29
17,TGG,0.61,0.89,0.21,0.22,0.56,0.69,0.53,-0.23
24,NGG,0.73,0.94,0.09,0.6,0.51,0.71,0.53,-0.46
22,CGG,0.55,0.94,0.16,0.59,0.54,0.76,0.76,-0.57
20,NGG,0.77,0.92,0.15,0.53,0.67,0.7,0.51,-0.46
23,TGG,0.6,0.82,0.12,0.47,0.64,0.74,0.54,-0.51
19,NAG,0.61,0.81,0.22,0.33,0.62,0.74,0.6,-0.48
17,TGG,0.49,0.95,0.24,0.24,0.79,0.62,0.78,-0.15
21,CGG,0.52,0.95,0.09,0.54,0.67,0.8,0.79,-0.48
19,CGG,0.5,0.71,0.24,0.41,0.72,0.62,0.76,-0.56
20,CGG,0.72,0.77,0.12,0.34,0.8,0.58,0.77,-0.27
17,NAG,0.4,0.91,0.24,0.53,0.61,0.57,0.64,-0.43
19,CGG,0.72,0.93,0.12,0.39,0.63,0.72,0.76,-0.3
18,NAG,0.41,0.84,0.23,0.47,0.68,0.62,0.73,-0.48
21,TGG,0.42,0.72,0.01,0.56,0.7,0.6,0.51,-0.45
18,TGG,0.48,0.71,0.24,0.42,0.58,0.5,0.6,-0.45
19,NGG,0.51,0.73,0.22,0.48,0.78,0.56,0.64,-0.53
22,TGG,0.53,0.87,0.18,0.44,0.66,0.74,0.69,-0.49
23,NAG,0.41,0.85,0.21,0.54,0.78,0.53,0.58,-0.43
17,CGG,0.58,0.8,0.09,0.44,0.75,0.7,0.64,-0.43
22,NGG,0.66,0.93,0.2,0.2,0.54,0.74,0.53,-0.21
23,TGG,0.6,0.75,0.22,0.42,0.52,0.6,0.66,-0.49
17,NAG,0.63,0.82,0.07,0.54,0.78,0.62,0.6,-0.41
24,CGG,0.59,0.81,0.18,0.36,0.44,0.6,0.71,-0.33
24,TGG,0.54,0.71,0.25,0.29,0.59,0.8,0.63,-0.63
22,CGG,0.54,0.77,0.07,0.55,0.5,0.78,0.67,-0.63
24,TGG,0.42,0.92,0.3,0.47,0.9,0.63,0.55,-0.48
23,NGG,0.7,0.91,0.12,0.58,0.45,0.76,0.52,-0.55
23,NAG,0.63,0.92,0.11,0.5,0.82,0.74,0.51,-0.43
18,CGG,0.78,0.87,0.25,0.39,0.8,0.77,0.72,-0.54
17,NGG,0.7,0.89,0.08,0.33,0.84,0.62,0.55,-0.14
22,TGG,0.57,0.74,0.23,0.44,0.87,0.66,0.73,-0.59
20,CGG,0.5,0.87,0.06,0.53,0.45,0.68,0.55,-0.4
18,NAG,0.57,0.75,0.29,0.46,0.9,0.62,0.64,-0.62
18,TGG,0.49,0.78,0.19,0.42,0.68,0.5,0.72,-0.33
24,NAG,0.65,0.92,0.24,0.35,0.76,0.75,0.57,-0.42
21,TGG,0.57,0.89,0.21,0.48,0.88,0.56,0.55,-0.36
21,NGG,0.75,0.89,0.09,0.32,0.85,0.69,0.63,-0.21
22,NGG,0.42,0.9,0.2,0.56,0.64,0.74,0.72,-0.6
18,TGG,0.56,0.73,0.14,0.28,0.53,0.57,0.7,-0.26
24,CGG,0.43,0.92,0.24,0.23,0.78,0.6,0.52,-0.15
24,NAG,0.68,0.84,0.02,0.32,0.77,0.62,0.74,-0.12
20,TGG,0.48,0.92,0.19,0.29,0.74,0.68,0.79,-0.24
24,CGG,0.53,0.88,0.28,0.35,0.4,0.59,0.72,-0.34
21,TGG,0.79,0.75,0.2,0.26,0.63,0.73,0.6,-0.44
22,NGG,0.77,0.79,0.09,0.54,0.49,0.8,0.78,-0.64
21,TGG,0.61,0.77,0.26,0.49,0.77,0.79,0.56,-0.77
24,CGG,0.71,0.82,0.26,0.29,0.76,0.64,0.72,-0.37
22,NGG,0.68,0.74,0.13,0.46,0.72,0.66,0.66,-0.51
19,NAG,0.45,0.88,0.1,0.3,0.74,0.58,0.75,-0.1
17,TGG,0.51,0.72,0.12,0.23,0.85,0.73,0.78,-0.36
23,TGG,0.43,0.83,0.26,0.43,0.85,0.76,0.57,-0.62
17,NGG,0.66,0.8,0.03,0.36,0.88,0.71,0.72,-0.3
20,NGG,0.41,0.81,0.11,0.38,0.58,0.62,0.71,-0.3
17,TGG,0.77,0.86,0.22,0.55,0.88,0.63,0.65,-0.54
18,NAG,0.62,0.95,0.13,0.44,0.53,0.56,0.52,-0.18
24,NGG,0.74,0.81,0.26,0.48,0.69,0.53,0.78,-0.46
17,CGG,0.57,0.86,0.3,0.41,0.54,0.72,0.75,-0.57
21,NAG,0.73,0.85,0.25,0.24,0.54,0.77,0.64,-0.41
22,TGG,0.6,0.73,0.07,0.39,0.73,0.68,0.6,-0.41
22,NAG,0.74,0.94,0.03,0.5,0.57,0.6,0.54,-0.19
22,NGG,0.61,0.76,0.13,0.36,0.75,0.66,0.62,-0.39
19,CGG,0.67,0.93,0.06,0.33,0.57,0.71,0.58,-0.17
17,NAG,0.79,0.84,0.11,0.2,0.69,0.57,0.78,-0.04
19,CGG,0.63,0.91,0.21,0.29,0.59,0.61,0.55,-0.2
24,TGG,0.44,0.77,0.01,0.31,0.68,0.64,0.65,-0.19
22,CGG,0.76,0.71,0.07,0.49,0.58,0.65,0.57,-0.5
20,NGG,0.51,0.88,0.22,0.42,0.68,0.58,0.76,-0.34
22,TGG,0.49,0.79,0.16,0.58,0.41,0.55,0.59,-0.5
23,CGG,0.53,0.92,0.17,0.42,0.65,0.58,0.69,-0.25
19,CGG,0.65,0.77,0.06,0.41,0.62,0.75,0.7,-0.45
18,TGG,0.57,0.85,0.06,0.36,0.77,0.8,0.64,-0.37
17,NAG,0.43,0.86,0.22,0.24,0.78,0.58,0.52,-0.18
20,NAG,0.71,0.95,0.01,0.49,0.52,0.63,0.68,-0.18
24,NAG,0.76,0.89,0.13,0.41,0.63,0.65,0.68,-0.3
22,CGG,0.67,0.81,0.0,0.28,0.85,0.7,0.7,-0.17
17,NAG,0.69,0.88,0.2,0.47,0.56,0.72,0.71,-0.51
21,TGG,0.43,0.94,0.02,0.32,0.5,0.79,0.66,-0.19
20,NAG,0.61,0.85,0.22,0.21,0.5,0.64,0.79,-0.22
20,NGG,0.63,0.76,0.27,0.21,0.88,0.58,0.59,-0.3
23,NAG,0.41,0.87,0.05,0.46,0.77,0.57,0.68,-0.21
17,NGG,0.43,0.72,0.1,0.34,0.43,0.58,0.63,-0.3
23,NAG,0.74,0.71,0.25,0.46,0.58,0.74,0.76,-0.74
18,TGG,0.69,0.82,0.25,0.32,0.66,0.73,0.53,-0.48
18,NGG,0.72,0.89,0.2,0.31,0.88,0.71,0.74,-0.33
22,NAG,0.62,0.77,0.09,0.29,0.46,0.58,0.72,-0.19
22,TGG,0.63,0.77,0.27,0.44,0.44,0.53,0.61,-0.47
24,NAG,0.48,0.76,0.09,0.27,0.72,0.63,0.77,-0.23
19,TGG,0.49,0.94,0.26,0.3,0.45,0.7,0.64,-0.32
18,TGG,0.5,0.81,0.2,0.44,0.82,0.78,0.6,-0.61
19,CGG,0.47,0.82,0.18,0.2,0.57,0.74,0.58,-0.3
17,CGG,0.5,0.88,0.29,0.41,0.89,0.79,0.77,-0.61
17,CGG,0.54,0.84,0.19,0.33,0.51,0.68,0.72,-0.36
21,CGG,0.61,0.94,0.28,0.26,0.63,0.52,0.61,-0.12
20,NAG,0.61,0.82,0.27,0.26,0.79,0.63,0.71,-0.34
20,NAG,0.64,0.94,0.09,0.32,0.65,0.8,0.71,-0.27
17,NGG,0.58,0.76,0.22,0.26,0.57,0.57,0.7,-0.29
22,CGG,0.56,0.81,0.06,0.25,0.79,0.52,0.57,-0.02
22,CGG,0.57,0.7,0.27,0.42,0.67,0.72,0.74,-0.71
18,NGG,0.43,0.92,0.28,0.46,0.43,0.51,0.58,-0.33
20,NGG,0.78,0.89,0.06,0.37,0.53,0.77,0.61,-0.31
21,NAG,0.62,0.93,0.24,0.26,0.57,0.56,0.53,-0.13
18,TGG,0.63,0.85,0.18,0.35,0.41,0.67,0.62,-0.35
23,CGG,0.79,0.87,0.24,0.4,0.44,0.71,0.76,-0.48
17,TGG,0.77,0.91,0.29,0.56,0.47,0.56,0.6,-0.5
24,NAG,0.75,0.72,0.09,0.32,0.9,0.56,0.7,-0.25
20,TGG,0.75,0.85,0.21,0.38,0.82,0.79,0.68,-0.53
19,NGG,0.62,0.77,0.18,0.49,0.75,0.69,0.5,-0.59
24,TGG,0.52,0.75,0.12,0.26,0.54,0.75,0.6,-0.38
23,TGG,0.42,0.7,0.07,0.55,0.69,0.65,0.66,-0.57
18,CGG,0.61,0.85,0.18,0.44,0.73,0.67,0.63,-0.44
19,TGG,0.67,0.91,0.22,0.52,0.48,0.75,0.5,-0.58
23,NGG,0.69,0.9,0.09,0.46,0.55,0.66,0.67,-0.31
23,NGG,0.75,0.93,0.24,0.42,0.65,0.54,0.77,-0.27
18,CGG,0.43,0.85,0.0,0.57,0.53,0.56,0.55,-0.28
17,CGG,0.56,0.79,0.13,0.53,0.4,0.73,0.62,-0.6
18,TGG,0.64,0.79,0.27,0.21,0.88,0.75,0.61,-0.44
24,TGG,0.49,0.72,0.19,0.33,0.72,0.61,0.68,-0.41
17,NGG,0.74,0.92,0.1,0.28,0.45,0.5,0.52,0.04
24,TGG,0.59,0.78,0.05,0.49,0.9,0.69,0.68,-0.45
19,CGG,0.76,0.73,0.01,0.21,0.79,0.73,0.57,-0.22
23,TGG,0.45,0.71,0.16,0.58,0.43,0.78,0.68,-0.81
22,TGG,0.76,0.73,0.15,0.29,0.46,0.65,0.65,-0.36
23,NAG,0.75,0.71,0.07,0.56,0.41,0.77,0.7,-0.69
20,NGG,0.61,0.75,0.13,0.24,0.87,0.68,0.55,-0.3
18,NGG,0.43,0.82,0.1,0.35,0.87,0.78,0.72,-0.41
23,NAG,0.57,0.75,0.26,0.53,0.53,0.79,0.76,-0.83
17,NAG,0.69,0.88,0.27,0.55,0.6,0.72,0.59,-0.66
21,NAG,0.78,0.77,0.09,0.41,0.62,0.5,0.55,-0.23
24,NGG,0.57,0.79,0.05,0.3,0.51,0.61,0.63,-0.17
24,CGG,0.46,0.79,0.28,0.25,0.74,0.79,0.71,-0.53
23,TGG,0.61,0.93,0.24,0.48,0.68,0.56,0.5,-0.35
20,NGG,0.63,0.76,0.11,0.57,0.63,0.52,0.53,-0.44
23,TGG,0.75,0.76,0.04,0.4,0.64,0.65,0.64,-0.33
24,CGG,0.6,0.91,0.14,0.28,0.63,0.77,0.5,-0.28
21,NAG,0.77,0.78,0.06,0.58,0.42,0.79,0.72,-0.65
22,NAG,0.45,0.76,0.25,0.36,0.5,0.66,0.63,-0.51
22,TGG,0.41,0.82,0.02,0.28,0.84,0.57,0.52,-0.05
22,CGG,0.5,0.86,0.21,0.39,0.66,0.53,0.73,-0.27
22,TGG,0.76,0.83,0.13,0.59,0.89,0.57,0.65,-0.46
22,TGG,0.47,0.74,0.01,0.52,0.87,0.6,0.76,-0.39
17,TGG,0.71,0.93,0.26,0.56,0.8,0.51,0.51,-0.4
22,TGG,0.44,0.88,0.27,0.34,0.78,0.54,0.72,-0.27
20,CGG,0.59,0.83,0.04,0.49,0.83,0.56,0.73,-0.26
22,TGG,0.42,0.75,0.29,0.6,0.72,0.55,0.6,-0.69
17,CGG,0.44,0.87,0.22,0.31,0.73,0.53,0.77,-0.19
24,NGG,0.47,0.92,0.24,0.58,0.6,0.66,0.62,-0.56
20,TGG,0.4,0.84,0.02,0.52,0.83,0.64,0.52,-0.34
20,TGG,0.63,0.75,0.12,0.49,0.86,0.78,0.69,-0.64
21,TGG,0.76,0.79,0.28,0.59,0.55,0.73,0.75,-0.81
19,NGG,0.62,0.8,0.2,0.38,0.5,0.55,0.71,-0.33
17,NGG,0.61,0.79,0.17,0.47,0.77,0.55,0.66,-0.4
24,NGG,0.65,0.71,0.28,0.26,0.68,0.54,0.58,-0.37
20,TGG,0.44,0.82,0.03,0.52,0.86,0.54,0.74,-0.27
17,NAG,0.6,0.93,0.21,0.37,0.78,0.7,0.71,-0.35
24,NAG,0.44,0.75,0.14,0.35,0.62,0.69,0.79,-0.43
24,NGG,0.48,0.76,0.13,0.38,0.81,0.56,0.6,-0.31
17,NGG,0.71,0.94,0.19,0.39,0.6,0.65,0.67,-0.29
21,NGG,0.65,0.85,0.03,0.31,0.76,0.73,0.51,-0.22
